Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (nJ)
comparator,tsmc28psyn,32,11426,0.0875046919306844,203.364001,1010.0,0.06467705233677577
comparator,tsmc28psyn,64,9747,0.10257867046270647,354.312002,1650.0,0.10946958038370783
comparator,tsmc28psyn,128,8767,0.11404410402646287,836.010002,3520.0,0.26143492642865285
comparatorprefix,tsmc28psyn,32,10632,0.09405368096313017,140.364,664.638,0.04477050413844996
comparatorprefix,tsmc28psyn,64,9091,0.10999690001099989,284.886,1320.0,0.08953910460895391
comparatorprefix,tsmc28psyn,128,7872,0.12701252032520327,579.6,2620.0,0.17479674796747965
comparatorsub,tsmc28psyn,32,9361,0.10680019378271552,146.79,600.967,0.04582843713278496
comparatorsub,tsmc28psyn,64,8387,0.1192081449862883,311.346001,1350.0,0.09586264456897581
comparatorsub,tsmc28psyn,128,7722,0.1294921295001295,569.142002,2360.0,0.1721056721056721
comparatortree,tsmc28psyn,32,10846,0.09213888936013276,142.632,626.391,0.04471694633966439
comparatortree,tsmc28psyn,64,8965,0.11152189682097044,241.29,999.625,0.07250418293363078
comparatortree,tsmc28psyn,128,8177,0.12228523994129877,438.227999,1670.0,0.13024336553748317
comparatordcflip,tsmc28psyn,32,11503,0.0869218433452143,160.65,737.973,0.05033469529687907
comparatordcflip,tsmc28psyn,64,9732,0.10266980189066996,358.596,1680.0,0.11364570489108099
comparatordcflip,tsmc28psyn,128,8481,0.11789762374719963,601.398001,2660.0,0.18771371300554182
comparatorprefixle,tsmc28psyn,32,10529,0.09497378117580017,140.616,653.932,0.04511349605850508
comparatorprefixle,tsmc28psyn,64,9087,0.11002232034774953,268.758,1200.0,0.0826455375811599
comparatorprefixle,tsmc28psyn,128,7730,0.129347106080207,507.276,2160.0,0.15316946959896505
comparatorprefixleopt,tsmc28psyn,32,10458,0.09555657754828839,134.82,622.769,0.042359915853891754
comparatorprefixleopt,tsmc28psyn,64,8930,0.11186008286674133,299.88,1380.0,0.08902575587905935
comparatorprefixleopt,tsmc28psyn,128,8000,0.124993,573.299999,2580.0,0.172375
